CallID,ConnectionDate,DisconnectionDate,Connect,Disconnect,Usage(kWh)
9760512-251228,12/28/2025,12/28/2025,7:47,13:32," 45,673 "
9241061-251222,12/22/2025,12/22/2025,10:00,15:44," 37,113 "
9760512-251221,12/21/2025,12/21/2025,7:28,13:25," 47,313 "
9241061-251208,12/08/2025,12/08/2025,8:17,17:04," 60,946 "
9760512-251207,12/07/2025,12/07/2025,7:29,13:33," 54,478 "
9760512-251130,11/30/2025,11/30/2025,8:07,13:16," 45,111 "
9241061-251126,11/26/2025,11/26/2025,10:39,15:06," 29,659 "
9760512-251123,11/23/2025,11/23/2025,7:40,13:55," 52,752 "
9760512-251116,11/16/2025,11/16/2025,9:53,13:29," 29,632 "
9760512-251109,11/9/2025,11/9/2025,8:23,11:13," 22,442 "
9760512-251102,11/2/2025,11/2/2025,8:48,13:29," 30,897 "
9807126-251101,11/1/2025,11/1/2025,7:57,15:31," 54,262 "
9241061-251031,10/31/2025,10/31/2025,7:27,16:07," 60,237 "
9760512-251026,10/26/2025,10/26/2025,10:47,14:00," 10,908 "
9807126-251025,10/25/2025,10/25/2025,8:02,15:07," 51,001 "
9807126-251018,10/18/2025,10/18/2025,8:06,15:08," 50,165 "
9241061-251017,10/17/2025,10/17/2025,7:38,15:46," 56,009 "
9807126-251011,10/11/2025,10/11/2025,8:30,15:06," 48,492 "
9807126-251004,10/4/2025,10/4/2025,8:00,15:13," 55,203 "
9241061-251003,10/3/2025,10/3/2025,7:44,15:40," 57,989 "
9807126-250927,9/27/2025,9/27/2025,8:13,15:11," 53,232 "
9807126-250920,9/20/2025,9/20/2025,8:12,15:19," 53,591 "
9807126-250913,9/13/2025,9/13/2025,8:17,15:19," 53,833 "
9807126-250906,9/6/2025,9/6/2025,8:12,14:36," 51,157 "
9241061-250903,9/3/2025,9/3/2025,8:08,15:13," 52,041 "
9807126-250830,8/30/2025,8/30/2025,8:01,15:23," 55,940 "
9241061-250808,8/8/2025,8/8/2025,10:47,15:07," 32,065 "
9241061-250708,7/8/2025,7/8/2025,8:16,15:08," 59,297 "
9241061-250701,7/1/2025,7/1/2025,9:39,15:08," 47,097 "
9241061-250505,5/5/2025,5/5/2025,8:40,14:35," 44,323 "
9241061-250329,3/29/2025,3/29/2025,8:08,14:37," 51,759 "
9241061-250315,3/15/2025,3/15/2025,8:28,14:41," 47,699 "
9241061-250103,1/3/2025,1/3/2025,10:01,17:05," 56,905 "
9241061-241203,12/3/2024,12/3/2024,7:56,15:12," 58,395 "
9241061-241120,11/20/2024,11/20/2024,11:48,15:06," 26,218 "
9241061-241025,10/25/2024,10/26/2024,8:02,14:39," 54,584 "
9241061-241004,10/4/2024,10/4/2024,8:43,15:51," 57,397 "
9241061-240922,9/22/2024,9/22/2024,10:25,15:46," 45,012 "

