Vessel,Cruise Line,Year of Construction,Gross Tonnage (GRT),Lower Berths
AIDABella,Carnival,,69203,2030
Carnival Conquest,Carnival,,110239,2980
Carnival Dream,Carnival,,130000,3646
Carnival Freedom,Carnival,,110239,2980
Carnival Glory,Carnival,,110239,2980
Carnival Legend,Carnival,,85942,2124
Carnival Liberty,Carnival,,110320,2974
Carnival Miracle,Carnival,,85842,2124
Carnival Pride,Carnival,,85920,2124
Carnival Spirit,Carnival,,85920,2124
Carnival Splendor,Carnival,,113323,3012
Carnival Triumph,Carnival,,101509,2758
Carnival Valor,Carnival,,110239,2980
Carnival Victory,Carnival,,101509,2764
Carnival Vista,Carnival,,133500,3934
Azura,Carnival,,115055,3096
Britannia,Carnival,,143730,3647
Costa Atlantica,Carnival,,85619,2114
Costa Magica,Carnival,,102587,2718
MS Eurodam,Carnival,,86273,2104
MS Noordam,Carnival,,82318,1924
MS Oosterdam,Carnival,,81769,1964
MS Ryndam,Carnival,,55819,1258
MS Zaandam,Carnival,,61396,1432
Oceana,Carnival,,77499,2016
Oriana,Carnival,,69153,1822
Dawn Princess,Carnival,,77441,1998
Ex-Royal Princess,Carnival,,30277,777
Golden Princess,Carnival,,108865,2600
Grand Princess,Carnival,,108806,2590
Ocean Princess,Carnival,,30277,777
Star Princess,Carnival,,108977,2600
Tahitian Princess,Carnival,,30277,688
MSC Magnifica,MSC,,92409,2550
MSC Orchestra,MSC,,92409,2550
Norwegian Crown,NCL,,34242,1230
Norwegian Dream,NCL,,50764,700
Norwegian Jewel,NCL,,93502,2376
Norwegian Majesty,NCL,,40876,1460
Norwegian Spirit,NCL,,75338,2018
Pride of Aloha,NCL,,77104,2000
Pride of America,NCL,,80439,2186
Pride of Hawaii,NCL,,93558,2402
Regatta,NCL,,30277,684
Celebrity Infinity,Other,,90940,2170
Princess Danae,Other,,16531,670
Astor,Other,,20704,650
Athena,Other,,15614,556
C.Columbus 2,Other,,63500,1400
LeBoreal,Other,,10944,264
MS Black Watch,Other,,28670,1325
Hanseatic,Other,,8378,198
Mein Schiff 6,Other,,98785,2534
National Geographic Explorer,Other,,6471,148
Nippon Maru,Other,,22472,398
Bremen,Other,,6752,155
C.Columbus,Other,,15067,420
Clipper Pacific,Other,,22945,227
MV Clipper,Other,,,400
MV Explorer,Other,,24318,200
Caledonian Sky,Other,,4200,114
Oceanic,Other,,38772,1600
Topaz,Other,,25516,1313
MS Deutschland,Other,,22400,520
Albatros,Other,,28518,536
Alexander Von Humboldt,Other,,10451,350
MS Hamburg,Other,,15067,420
Freedom of the Seas,Other,,154407,3934
Saga Ruby,Other,,24492,655
MV Minerva,Other,,12449,350
