Terminal,Date,CruiseLine,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),"ConnectionDuration 
",SPNote,Nox(MT),SO2(MT),PM2.5(MT),CO2(MT),CO2eq(MT),CarEq
BCT,3/8/2022,Oceanic Cruises,498,493,1076,2067,No,0,0:00:00,No connection due to feeder out of service,0.00,0.00,0.00,0.00,0.00,
BCT,3/27/2022,Pacific Cruises,255,452,1025,1732,No,0,0:00:00,No connection due to feeder out of service,0.00,0.00,0.00,0.00,0.00,
BCT,4/17/2022,Pacific Cruises,416,220,1104,1740,No,0,0:00:00,No connection due to feeder out of service,0.00,0.00,0.00,0.00,0.00,
BCT,4/24/2022,Arctic Cruises,0,0,98,98,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/1/2022,Arctic Cruises,1334,1338,272,2944,Yes,46393,5:57:22,N/A,0.12,0.02,0.01,19.64,20.03,4.60
BCT,5/15/2022,Oceanic Cruises,1346,1511,313,3170,Yes,43033,5:52:34,N/A,0.11,0.02,0.01,18.22,18.58,4.20
BCT,6/5/2022,Arctic Cruises,1637,1543,262,3442,Yes,26637,3:45:57,N/A,0.07,0.01,0.00,11.28,11.50,2.60
BCT,7/1/2022,Atlantic Cruises,1466,1549,396,3411,Yes,58271,6:50:33,N/A,0.15,0.02,0.01,24.67,25.16,5.80
BCT,7/8/2022,Atlantic Cruises,1399,1447,404,3250,Yes,58067,7:03:02,N/A,0.15,0.02,0.01,24.59,25.07,5.80
BCT,7/27/2022,Oceanic Cruises,16,14,2605,2635,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/5/2022,Pacific Cruises,2555,2372,97,5024,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,6.40
BCT,8/5/2022,Pacific Cruises,1615,1751,329,3695,Yes,64907,7:21:30,N/A,0.16,0.03,0.01,27.48,28.03,6.40
BCT,8/28/2022,Arctic Cruises,1773,1795,264,3832,Yes,55951,6:30:16,N/A,0.14,0.02,0.01,23.69,24.16,5.50
BCT,8/31/2022,Atlantic Cruises,1865,2565,91,4521,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/17/2022,Pacific Cruises,1878,1976,60,3914,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
