CallID,VesselName,ArrivalDate,Arrival,DepartDate,Depart
9760512-251228,MSC Meraviglia,12/28/2025,6:32,12/28/2025,15:40
9241061-251222,Queen Mary 2,12/22/2025,8:40,12/22/2025,18:36
9760512-251221,MSC Meraviglia,12/21/2025,6:32,12/21/2025,15:07
9760512-251214,MSC Meraviglia,12/14/2025,6:39,12/14/2025,15:29
9241061-251208,Queen Mary 2,12/8/2025,7:17,12/8/2025,19:40
9760512-251207,MSC Meraviglia,12/7/2025,0:02,12/7/2025,15:10
9760512-251130,MSC Meraviglia,11/30/2025,6:32,11/30/2025,15:20
9241061-251126,Queen Mary 2,11/26/2025,7:56,11/26/2025,17:44
9760512-251123,MSC Meraviglia,11/23/2025,6:33,11/23/2025,15:25
9760512-251116,MSC Meraviglia,11/16/2025,6:41,11/16/2025,15:01
9760512-251109,MSC Meraviglia,11/9/2025,6:48,11/9/2025,21:43
9760512-251102,MSC Meraviglia,11/2/2025,6:42,11/2/2025,15:06
9807126-251101,Enchanted Princess,11/1/2025,7:35,11/1/2025,17:05
9241061-251031,Queen Mary 2,10/31/2025,6:34,10/31/2025,17:12
9760512-251026,MSC Meraviglia,10/26/2025,6:44,10/26/2025,15:38
9807126-251025,Enchanted Princess,10/25/2025,7:29,10/25/2025,15:54
9760512-251019,MSC Meraviglia,10/19/2025,6:45,10/19/2025,15:33
9807126-251018,Enchanted Princess,10/18/2025,7:28,10/18/2025,15:55
9241061-251017,Queen Mary 2,10/17/2025,6:44,10/17/2025,16:46
9760512-251012,MSC Meraviglia,10/12/2025,5:08,10/14/2025,4:56
9807126-251011,Enchanted Princess,10/11/2025,7:35,10/11/2025,15:52
9760512-251005,MSC Meraviglia,10/5/2025,6:34,10/5/2025,15:34
9807126-251004,Enchanted Princess,10/4/2025,7:34,10/4/2025,15:52
9241061-251003,Queen Mary 2,10/3/2025,6:46,10/3/2025,18:06
9760512-250928,MSC Meraviglia,9/28/2025,4:44,9/28/2025,17:04
9807126-250927,Enchanted Princess,9/27/2025,7:40,9/27/2025,15:55
