Terminal,Date,CruiseLine,ShipName,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),CallDuration,ConnectionDuration
MCT,11/16/2021,Arctic Cruises,Kestrel,0,0,0,0,No ,0,15:55:24,0:00:00
MCT,9/3/2021,Arctic Cruises,Peregrine,175,0,4,179,No ,0,16:45:40,0:00:00
MCT,10/2/2021,American Cruises,Spinner,1858,0,,1858,No ,0,8:35:51,0:00:00
MCT,11/6/2021,American Cruises,Orca,149,172,23,344,No ,0,4:53:26,0:00:00
MCT,9/15/2021,American Cruises,Orca,1518,1808,49,3375,No ,0,11:57:16,0:00:00
MCT,10/12/2021,Arctic Cruises,Red Feather,0,0,58,58,No ,0,5:39:23,0:00:00
MCT,10/7/2021,Arctic Cruises,Red Feather,135,147,23,305,No ,0,14:53:12,0:00:00
MCT,10/3/2021,Pacific Cruises,Tiger,1296,1536,21,2853,No ,0,6:11:50,0:00:00
MCT,11/24/2021,Arctic Cruises,Peregrine,183,137,19,339,No ,0,9:14:57,0:00:00
MCT,12/9/2021,Pacific Cruises,Lion,1437,1283,29,2749,No ,0,16:17:57,0:00:00
MCT,10/5/2021,Atlantic Cruises,Mercedes,0,6,48,54,No ,0,22:47:23,0:00:00
MCT,12/11/2021,Arctic Cruises,Kestrel,153,180,21,354,No ,0,11:19:07,0:00:00
MCT,9/9/2021,Atlantic Cruises,BWM,1547,1439,27,3013,No ,0,23:15:43,0:00:00
MCT,11/7/2021,Arctic Cruises,Peregrine,140,155,17,312,No ,0,21:06:09,0:00:00
MCT,10/2/2021,Atlantic Cruises,Audi,0,2,109,111,No ,0,15:06:44,0:00:00
MCT,9/30/2021,American Cruises,Orca,1919,1479,46,3444,No ,0,6:50:21,0:00:00
MCT,9/29/2021,Atlantic Cruises,Audi,247,116,43,406,No ,0,23:12:11,0:00:00
MCT,10/20/2021,American Cruises,Orca,1497,1925,35,3457,No ,0,7:02:14,0:00:00
MCT,11/1/2021,Pacific Cruises,Lion,139,260,29,428,No ,0,19:36:52,0:00:00
MCT,12/3/2021,Atlantic Cruises,Mercedes,312,142,27,481,No ,0,10:41:58,0:00:00
MCT,12/3/2021,American Cruises,Orca,1221,1,2,1224,No ,0,22:40:51,0:00:00
MCT,11/30/2021,Arctic Cruises,Red Feather,202,305,25,532,No ,0,15:59:53,0:00:00
MCT,11/30/2021,Arctic Cruises,Red Feather,1232,1204,19,2455,No ,0,3:57:29,0:00:00
MCT,10/25/2021,Pacific Cruises,Lion,1867,2028,85,3980,No ,0,6:23:47,0:00:00
MCT,9/14/2021,Atlantic Cruises,BWM,982,1227,19,2228,No ,0,15:22:53,0:00:00
MCT,10/5/2021,Pacific Cruises,Lion,903,983,18,1904,No ,0,20:41:59,0:00:00
MCT,11/9/2021,American Cruises,Orca,999,901,18,1918,No ,0,9:25:32,0:00:00
BCT,10/2/2021,Atlantic Cruises,Mercedes,2414,2414,3043,7871,No ,0,21:17:10,0:00:00
MCT,11/12/2021,Atlantic Cruises,Audi,1419,993,19,2431,No ,0,16:59:51,0:00:00
MCT,6/20/2022,Atlantic Cruises,Audi,855,1428,8,2291,No ,0,22:04:30,0:00:00
MCT,8/14/2022,Arctic Cruises,Kestrel,768,835,22,1625,No ,0,22:31:06,0:00:00
MCT,11/19/2022,Pacific Cruises,Jaguar,576,762,25,1363,No ,0,11:08:02,0:00:00
MCT,6/26/2022,American Cruises,Orca,569,570,32,1171,No ,0,1:38:02,0:00:00
MCT,3/18/2022,Arctic Cruises,Red Feather,604,591,13,1208,No ,0,10:41:55,0:00:00
MCT,12/7/2022,American Cruises,Bottlenose,1135,767,10,1912,No ,0,13:17:29,0:00:00
MCT,3/17/2022,Arctic Cruises,Kestrel,2001,2,19,2022,No ,0,11:18:39,0:00:00
BCT,6/11/2022,Pacific Cruises,Tiger,3077,3077,635,6789,No ,0,7:53:59,0:00:00
MCT,1/11/2022,Atlantic Cruises,BWM,1450,1999,19,3468,No ,0,9:28:17,0:00:00
MCT,4/20/2022,American Cruises,Orca,867,1132,11,2010,No ,0,22:29:43,0:00:00
MCT,3/16/2022,Atlantic Cruises,Mercedes,1445,1428,40,2913,No ,0,0:17:37,0:00:00
BCT,12/28/2022,American Cruises,Spinner,4926,4926,3167,13019,No ,0,21:41:27,0:00:00
MCT,6/30/2022,Arctic Cruises,Peregrine,1135,841,17,1993,No ,0,5:35:32,0:00:00
MCT,5/2/2022,Arctic Cruises,Peregrine,2261,1444,38,3743,No ,0,3:40:53,0:00:00
MCT,1/5/2022,Arctic Cruises,Kestrel,1710,2267,22,3999,No ,0,21:07:34,0:00:00
MCT,3/10/2022,Atlantic Cruises,Mercedes,1151,1134,15,2300,No ,0,11:11:55,0:00:00
BCT,5/18/2022,Pacific Cruises,Tiger,960,960,260,2180,No ,0,11:11:36,0:00:00
MCT,4/23/2022,American Cruises,Bottlenose,1696,1702,27,3425,No ,0,15:41:47,0:00:00
MCT,1/5/2022,Atlantic Cruises,Audi,1197,1144,18,2359,No ,0,4:57:26,0:00:00
MCT,8/2/2022,Arctic Cruises,Peregrine,1308,1223,49,2580,No ,0,22:53:45,0:00:00
MCT,12/4/2022,American Cruises,Spinner,2547,1693,29,4269,No ,0,5:40:43,0:00:00
MCT,8/14/2022,American Cruises,Bottlenose,1865,1195,13,3073,No ,0,8:31:12,0:00:00
MCT,8/23/2022,Atlantic Cruises,Mercedes,2532,3142,33,5707,No ,0,7:19:55,0:00:00
MCT,10/5/2022,American Cruises,Bottlenose,2437,1861,14,4312,No ,0,6:53:24,0:00:00
BCT,5/4/2022,Pacific Cruises,Tiger,2835,2835,2801,8471,No ,0,6:44:32,0:00:00
MCT,6/9/2022,Arctic Cruises,Peregrine,4338,3142,27,7507,No ,0,15:39:52,0:00:00
MCT,5/14/2022,Pacific Cruises,Lion,272,315,13,600,No ,0,16:22:08,0:00:00
MCT,3/19/2022,Pacific Cruises,Lion,0,2,108,110,No ,0,12:28:57,0:00:00
BCT,6/24/2022,Arctic Cruises,Kestrel,5529,5529,2528,13586,No ,0,19:16:33,0:00:00
MCT,3/12/2022,Atlantic Cruises,BWM,1538,4350,9,5897,No ,0,3:14:19,0:00:00
MCT,7/28/2022,American Cruises,Bottlenose,910,2435,13,3358,No ,0,9:02:22,0:00:00
MCT,10/3/2022,Pacific Cruises,Jaguar,1501,5,18,1524,No ,0,17:43:19,0:00:00
MCT,2/10/2022,Arctic Cruises,Red Feather,2167,0,17,2184,No ,0,7:29:36,0:00:00
