Terminal,Date,Vessel Name,EmbarkPAX,DebarkPAX,TransitPAX,Berth,ShorePowered, kWh ,connectionDuration,ShorePowerNote
BCT,12/20/2021,Queen,412,842,537,, N/A ,0,0:00:00,N/A
BCT,2/22/2022,Queen,728,465,248,, No ,0,0:00:00,No connection due to feeder out of service
BCT,3/8/2022,Queen,583,713,1124,, No ,0,0:00:00,No connection due to feeder out of service
BCT,3/27/2022,Queen,392,592,1079,, No ,0,0:00:00,No connection due to feeder out of service
BCT,4/17/2022,Queen,521,556,1178,, No ,0,0:00:00,No connection due to feeder out of service
BCT,4/24/2022,Seas seven,7,12,142,, N/A ,0,0:00:00,N/A
BCT,5/1/2022,Queen ,1450,7833,295,, Yes ,46393,5:57:22,N/A
BCT,5/15/2022,Queen ,1272,1569,358,, Yes ,43033,5:52:34,N/A
BCT,6/5/2022,Queen ,1538,2138,286,, Yes ,26637,3:45:57,N/A
BCT,7/1/2022,Queen ,1691,677,423,, Yes ,58271,6:50:33,N/A
BCT,7/8/2022,Queen ,1222,7098,447,, Yes ,58067,7:03:02,N/A
BCT,7/27/2022,Caribbean ,32,23,2590,, N/A ,0,0:00:00,N/A
BCT,8/5/2022,Caribbean ,2431,2490,123,, N/A ,0,0:00:00,N/A
BCT,8/5/2022,Queen ,1784,1652,4881,, Yes ,64907,7:21:30,N/A
BCT,8/28/2022,Queen,1668,1879,302,, Yes ,55951,6:30:16,N/A
BCT,8/31/2022,Caribbean ,1907,2691,116,, N/A ,0,0:00:00,N/A
BCT,9/17/2022,Caribbean ,1986,1992,85,, N/A ,0,0:00:00,N/A
BCT,9/17/2022,Enchanted ,3154,811,74,, N/A ,0,0:00:00,N/A
BCT,9/23/2022,Queen Mary 2,1288,1539,706,, Yes ,38519,4:42:48,N/A
BCT,9/24/2022,Enchanted ,2762,2974,61,, N/A ,0,0:00:00,N/A
BCT,10/1/2022,Enchanted ,2897,3101,33,, N/A ,0,0:00:00,N/A
BCT,10/6/2022,Sky ,371,205,437,, N/A ,0,0:00:00,N/A
BCT,10/7/2022,Queen,1506,1378,825,, N/A ,0,0:00:00,N/A
BCT,10/8/2022,Enchanted ,4211,3119,47,, N/A ,0,0:00:00,N/A
BCT,10/10/2022,Enchanted ,2194,1795,36,, N/A ,0,0:00:00,N/A
BCT,10/15/2022,Enchanted ,32740,3275,48,, N/A ,0,0:00:00,N/A
BCT,10/22/2022,Enchanted ,2145,793,53,, N/A ,0,0:00:00,N/A
BCT,10/25/2022,Queen ,1972,2061,3108,, Yes ,39519,5:15:26,N/A
BCT,10/29/2022,Enchanted ,2148,2175,40,, N/A ,0,0:00:00,N/A
BCT,10/30/2022,Enchanted ,9,16,1859,, N/A ,0,0:00:00,N/A
BCT,11/5/2022,Enchanted ,2663,1694,152,, N/A ,0,0:00:00,N/A
BCT,11/20/2022,Queen ,1725,1587,620,, Yes ,750,5:20:48,N/A
BCT,12/3/2022,Queen ,1589,4866,566,, N/A ,0,0:00:00,N/A
BCT,12/22/2022,Queen ,1427,1352,928,, Yes ,40771,5:33:37,N/A
BCT,1/3/2023,Queen ,1475,1524,857,, Yes ,49091,6:30:17,N/A
BCT,4/22/2023, Meraviglia,4682,3645,5,, N/A ,0,0:00:00,N/A
BCT,4/29/2023, Meraviglia,4395,4597,329,, N/A ,0,0:00:00,N/A
BCT,5/7/2023, Meraviglia,4378,4439,7,, N/A ,0,0:00:00,N/A
BCT,5/14/2023, Meraviglia,4199,4298,12,, N/A ,0,0:00:00,N/A
BCT,5/21/2023, Meraviglia,4523,4186,3,, N/A ,0,0:00:00,N/A
BCT,5/26/2023,Queen,2387,2367,189,, Yes ,57404,7:13:41,N/A
