IMO,VesselName,Date,Port
9241061,Queen Mary 2,1/3/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,1/11/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,1/11/2026,Southampton
9760512,MSC Meraviglia,1/13/2026,Port Canaveral
9760512,MSC Meraviglia,1/14/2026,Nassau
9760512,MSC Meraviglia,1/15/2026,Ocean Cay
9760512,MSC Meraviglia,1/18/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,1/19/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,1/20/2026,Port Canaveral
9760512,MSC Meraviglia,1/21/2026,Ocean Cay
9760512,MSC Meraviglia,1/22/2026,Nassau
9241061,Queen Mary 2,1/23/2026,Cartagena
9241061,Queen Mary 2,1/24/2026,Panama Canal (full transit)
9760512,MSC Meraviglia,1/25/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,1/25/2026,Fuerte Amador (Panama City)
9241061,Queen Mary 2,1/26/2026,Fuerte Amador (Panama City)
9760512,MSC Meraviglia,1/27/2026,Port Canaveral
9760512,MSC Meraviglia,1/28/2026,Ocean Cay
9760512,MSC Meraviglia,1/29/2026,Nassau
9241061,Queen Mary 2,1/30/2026,Manzanillo
9760512,MSC Meraviglia,2/1/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,2/3/2026,Port Canaveral
9760512,MSC Meraviglia,2/4/2026,Ocean Cay
9760512,MSC Meraviglia,2/5/2026,Nassau
9760512,MSC Meraviglia,2/8/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,2/10/2026,Port Canaveral
9760512,MSC Meraviglia,2/11/2026,Nassau
9760512,MSC Meraviglia,2/12/2026,Ocean Cay
9760512,MSC Meraviglia,2/15/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,2/17/2026,Port Canaveral
9760512,MSC Meraviglia,2/18/2026,Ocean Cay
9760512,MSC Meraviglia,2/19/2026,Nassau
9760512,MSC Meraviglia,2/22/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,2/24/2026,Port Canaveral
9760512,MSC Meraviglia,2/25/2026,Ocean Cay
9760512,MSC Meraviglia,2/26/2026,Nassau
9760512,MSC Meraviglia,3/1/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,3/3/2026,Port Canaveral
9760512,MSC Meraviglia,3/4/2026,Ocean Cay
9760512,MSC Meraviglia,3/5/2026,Nassau
9760512,MSC Meraviglia,3/8/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,3/10/2026,Port Canaveral
9760512,MSC Meraviglia,3/11/2026,Nassau
9760512,MSC Meraviglia,3/12/2026,Ocean Cay
9760512,MSC Meraviglia,3/15/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,3/22/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,3/29/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,4/5/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,4/7/2026,Port Canaveral
9760512,MSC Meraviglia,4/8/2026,Nassau
9760512,MSC Meraviglia,4/9/2026,Ocean Cay
9760512,MSC Meraviglia,4/12/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,4/14/2026,Port Canaveral
9760512,MSC Meraviglia,4/15/2026,Ocean Cay
9760512,MSC Meraviglia,4/16/2026,Nassau
9760512,MSC Meraviglia,4/19/2026,New York (Manhattan/Brooklyn)
9760512,MSC Meraviglia,4/21/2026,Halifax
9760512,MSC Meraviglia,4/26/2026,Ponta Delgada
9760512,MSC Meraviglia,4/29/2026,Lisbon
9241061,Queen Mary 2,5/1/2026,Le Havre (Paris)
9241061,Queen Mary 2,5/8/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,5/15/2026,Southampton
9241061,Queen Mary 2,5/17/2026,Stavanger
9241061,Queen Mary 2,5/18/2026,Skjolden
9241061,Queen Mary 2,5/19/2026,Olden
9241061,Queen Mary 2,5/22/2026,Southampton
9241061,Queen Mary 2,5/29/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,6/5/2026,Southampton
9241061,Queen Mary 2,6/6/2026,Zeebrugge
9241061,Queen Mary 2,6/8/2026,Le Havre
9241061,Queen Mary 2,6/9/2026,Cherbourg
9241061,Queen Mary 2,6/10/2026,Southampton
9241061,Queen Mary 2,6/17/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,6/24/2026,Southampton
