Date,Vessel,Arrive,Connect,Include?,kWh,Disconnect,Depart
1/1/1965,06C8W0L9,07:31,10:09 AM,TRUE,21330.00,10:00 PM,11:20 PM
1/15/1965,6KA8EVQD,08:12,9:39 AM,TRUE,6850.00,4:30 PM,6:13 PM
1/28/1965,BGIHXU38,09:46,11:39 AM,FALSE,620.00,12:10 PM,2:47 PM
1/30/1965,6KA8EVQD,09:17,11:34 AM,TRUE,4216.67,3:47 PM,5:23 PM
2/4/1965,SRRWLW1X,09:42,11:25 AM,TRUE,9833.33,9:15 PM,10:59 PM
2/6/1965,SRRWLW1X,09:55,12:18 PM,TRUE,8866.67,9:10 PM,10:39 PM
2/15/1965,SRRWLW1X,10:46,12:56 PM,TRUE,2033.33,2:58 PM,4:54 PM
2/24/1965,ZH0YM4WS,07:19,9:42 AM,TRUE,54583.33,8:37 PM,9:38 PM
3/1/1965,BGIHXU38,07:11,9:47 AM,TRUE,6040.00,2:49 PM,4:49 PM
3/13/1965,2N3QBUN5,09:17,12:15 PM,TRUE,8712.50,10:30 PM,12:36 AM
3/17/1965,IW25XZVQ,09:28,12:16 PM,TRUE,13466.67,7:00 PM,9:20 PM
3/26/1965,Q7O9Y1JO,07:00,8:04 AM,TRUE,16416.67,2:38 PM,3:58 PM
4/3/1965,IW25XZVQ,10:30,1:07 PM,TRUE,21633.33,11:56 PM,1:31 AM
4/7/1965,F0O4LQOR,09:59,12:42 PM,TRUE,4162.50,6:57 PM,8:55 PM
4/18/1965,BGIHXU38,09:17,11:13 AM,TRUE,2620.00,1:24 PM,2:43 PM
4/23/1965,ZH0YM4WS,07:54,10:02 AM,TRUE,36000.00,5:14 PM,7:50 PM
4/29/1965,Q7O9Y1JO,09:47,11:48 AM,TRUE,21583.33,8:26 PM,10:43 PM
5/12/1965,6KA8EVQD,07:57,9:05 AM,TRUE,10850.00,7:56 PM,9:42 PM
5/22/1965,IW25XZVQ,10:51,1:30 PM,TRUE,15966.67,9:29 PM,10:50 PM
5/26/1965,E9BLOU9Y,10:17,12:12 PM,FALSE,6825.00,2:09 PM,4:16 PM
6/7/1965,BGIHXU38,10:59,1:58 PM,FALSE,720.00,2:34 PM,5:04 PM
6/14/1965,2N3QBUN5,09:46,11:24 AM,TRUE,3414.17,3:25 PM,5:43 PM
6/20/1965,E9BLOU9Y,10:19,11:22 AM,TRUE,25141.67,6:33 PM,7:47 PM
6/27/1965,E9BLOU9Y,07:18,9:24 AM,TRUE,23975.00,4:15 PM,6:51 PM
6/28/1965,F0O4LQOR,09:35,11:49 AM,TRUE,4029.30,5:52 PM,7:14 PM
7/12/1965,Q7O9Y1JO,10:21,11:54 AM,FALSE,3375.00,1:15 PM,2:46 PM
7/13/1965,E9BLOU9Y,07:30,8:35 AM,TRUE,44450.00,9:17 PM,10:27 PM
