Terminal,Date,Vessel Name,EmbarkPAX,DebarkPAX,TransitPAX,Berth,ShorePowered, kWh ,connectionDuration,ShorePowerNote
BCT,12/20/2021,Queen,412,842,537,, N/A ,0,0:00:00,N/A
BCT,2/22/2022,Queen,728,465,248,, No ,0,0:00:00,No connection due to feeder out of service
BCT,3/8/2022,Queen,583,713,"1,124",, No ,0,0:00:00,No connection due to feeder out of service
BCT,3/27/2022,Queen,392,592,"1,079",, No ,0,0:00:00,No connection due to feeder out of service
BCT,4/17/2022,Queen,521,556,"1,178",, No ,0,0:00:00,No connection due to feeder out of service
BCT,4/24/2022,Seas seven,7,12,142,, N/A ,0,0:00:00,N/A
BCT,5/1/2022,Queen ,"1,450","7,833",295,, Yes ,"46,393",5:57:22,N/A
BCT,5/15/2022,Queen ,"1,272","1,569",358,, Yes ,"43,033",5:52:34,N/A
BCT,6/5/2022,Queen ,"1,538","2,138",286,, Yes ,"26,637",3:45:57,N/A
BCT,7/1/2022,Queen ,"1,691",677,423,, Yes ,"58,271",6:50:33,N/A
BCT,7/8/2022,Queen ,"1,222","7,098",447,, Yes ,"58,067",7:03:02,N/A
BCT,7/27/2022,Caribbean ,32,23,"2,590",, N/A ,0,0:00:00,N/A
BCT,8/5/2022,Caribbean ,"2,431","2,490",123,, N/A ,0,0:00:00,N/A
BCT,8/5/2022,Queen ,"1,784","1,652",4881,, Yes ,"64,907",7:21:30,N/A
BCT,8/28/2022,Queen,"1,668","1,879",302,, Yes ,"55,951",6:30:16,N/A
BCT,8/31/2022,Caribbean ,"1,907","2,691",116,, N/A ,0,0:00:00,N/A
BCT,9/17/2022,Caribbean ,"1,986","1,992",85,, N/A ,0,0:00:00,N/A
BCT,9/17/2022,Enchanted ,"3,154",811,74,, N/A ,0,0:00:00,N/A
BCT,9/23/2022,Queen Mary 2,"1,288","1,539",706,, Yes ,"38,519",4:42:48,N/A
BCT,9/24/2022,Enchanted ,"2,762","2,974",61,, N/A ,0,0:00:00,N/A
BCT,10/1/2022,Enchanted ,"2,897","3,101",33,, N/A ,0,0:00:00,N/A
BCT,10/6/2022,Sky ,371,205,437,, N/A ,0,0:00:00,N/A
BCT,10/7/2022,Queen,"1,506","1,378",825,, N/A ,0,0:00:00,N/A
BCT,10/8/2022,Enchanted ,"4,211","3,119",47,, N/A ,0,0:00:00,N/A
BCT,10/10/2022,Enchanted ,"2,194","1,795",36,, N/A ,0,0:00:00,N/A
BCT,10/15/2022,Enchanted ,"32,740","3,275",48,, N/A ,0,0:00:00,N/A
BCT,10/22/2022,Enchanted ,"2,145",793,53,, N/A ,0,0:00:00,N/A
BCT,10/25/2022,Queen ,"1,972","2,061",3108,, Yes ,"39,519",5:15:26,N/A
BCT,10/29/2022,Enchanted ,"2,148","2,175",40,, N/A ,0,0:00:00,N/A
BCT,10/30/2022,Enchanted ,9,16,"1,859",, N/A ,0,0:00:00,N/A
BCT,11/5/2022,Enchanted ,"2,663","1,694",152,, N/A ,0,0:00:00,N/A
BCT,11/20/2022,Queen ,"1,725","1,587",620,, Yes ,750,5:20:48,N/A
BCT,12/3/2022,Queen ,"1,589","4,866",566,, N/A ,0,0:00:00,N/A
BCT,12/22/2022,Queen ,"1,427","1,352",928,, Yes ,"40,771",5:33:37,N/A
BCT,1/3/2023,Queen ,"1,475","1,524",857,, Yes ,"49,091",6:30:17,N/A
BCT,4/22/2023, Meraviglia,"4,682","3,645",5,, N/A ,0,0:00:00,N/A
BCT,4/29/2023, Meraviglia,"4,395","4,597",329,, N/A ,0,0:00:00,N/A
BCT,5/7/2023, Meraviglia,"4,378","4,439",7,, N/A ,0,0:00:00,N/A
BCT,5/14/2023, Meraviglia,"4,199","4,298",12,, N/A ,0,0:00:00,N/A
