Terminal,Date,CruiseLine,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),ConnectionDuration,SPNote,Nox(MT),SO2(MT),PM2.5(MT),CO2(MT),CO2eq(MT),CarEq
MCT,11/16/2021,Arctic Cruises,0,0,0,0, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/3/2021,Arctic Cruises,175,0,4,179, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/2/2021,American Cruises,1858,0,,1858, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/6/2021,American Cruises,149,172,23,344, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/15/2021,American Cruises,1518,1808,49,3375, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/12/2021,Arctic Cruises,0,0,58,58, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/7/2021,Arctic Cruises,135,147,23,305, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/3/2021,Pacific Cruises,1296,1536,21,2853, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/24/2021,Arctic Cruises,183,137,19,339, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,12/9/2021,Pacific Cruises,1437,1283,29,2749, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/5/2021,Atlantic Cruises,0,6,48,54, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,12/11/2021,Arctic Cruises,153,180,21,354, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/9/2021,Atlantic Cruises,1547,1439,27,3013, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/7/2021,Arctic Cruises,140,155,17,312, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/2/2021,Atlantic Cruises,0,2,109,111, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/30/2021,American Cruises,1919,1479,46,3444, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/29/2021,Atlantic Cruises,247,116,43,406, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/20/2021,American Cruises,1497,1925,35,3457, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/1/2021,Pacific Cruises,139,260,29,428, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,12/3/2021,Atlantic Cruises,312,142,27,481, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,12/3/2021,American Cruises,1221,1,2,1224, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/30/2021,Arctic Cruises,202,305,25,532, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/30/2021,Arctic Cruises,1232,1204,19,2455, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/25/2021,Pacific Cruises,1867,2028,85,3980, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,9/14/2021,Atlantic Cruises,982,1227,19,2228, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,10/5/2021,Pacific Cruises,903,983,18,1904, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/9/2021,American Cruises,999,901,18,1918, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
BCT,10/2/2021,Atlantic Cruises,2414,2414,3043,7871, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/12/2021,Atlantic Cruises,1419,993,19,2431, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,6/20/2022,Atlantic Cruises,855,1428,8,2291, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,8/14/2022,Arctic Cruises,768,835,22,1625, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,11/19/2022,Pacific Cruises,576,762,25,1363, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,6/26/2022,American Cruises,569,570,32,1171, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,3/18/2022,Arctic Cruises,604,591,13,1208, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,12/7/2022,American Cruises,1135,767,10,1912, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
MCT,3/17/2022,Arctic Cruises,2001,2,19,2022, N/A ,0,0:00:00,N/A, -   , -   , -   , -   , -   ,
BCT,6/11/2022,Pacific Cruises,3077,3077,635,6789, No ,0,0:00:00,No connection due to feeder out of service, -   , -   , -   , -   , -   ,
